!SIL SIL
<NOISE> SIL
<SPOKEN_NOISE> SIL
<unk> SIL
A	ei
反正    h uainn d it
反而	f an err
反而    d en d or
叔	sh u
叔叔     a z ik
取	c yu
取代	c yu d ai
取得	c yu d er
取消	c yu s iau
取消    d iau
受	sh ou
受    s iu
受傷	sh ou sh ang
受到	sh ou d au
受到    s iu d iorh
叛	p an
叟	s ou
叢	c ong
口	k ou
口    k au
口味	k ou uei
口味    k au bh i
口感	k ou g an
口服液    k au h ok  ik
口水    c ui n ua
口渴    c ui d a
古	g u
古代	g u d ai
古代    g o z a
古典	g u d ien
古厝    g o c u
古老	g u l au
句	z yu
句    g u
句型    g u h ing
另	l ing
另一方面	l ing i f ang m ien
另外	l ing uai
另外    l ing gh ua
叨	d au
叨	t au
叩	k ou
叩見    k au g en
只	zh ii
只    z i
只好	zh ii h au
只好    z i h or
只是	zh ii sh ii
只是    z i s i
只有	zh ii iou
只有    g an n a
只有    z i  u
只要	zh ii iau
只要    z i  iau
叫	z iau
叫     ai
叫    g a
叫    g ior
叫    h uah
叫做	z iau z uo
叫做    g ior z or
叫做    h or z or
叫聲    g ior s iann
召	zh au
召開	zh au k ai
叭	b a
叮	d ing
叮咚    d ing d ong
可	k er
可    k or
可以	k er i
可以     e  ing d it
可以     e d ang
可以     e d it
可以     e s ai
可以     e s ai d it
可以    d it
可以    k or  i
可以    t ang
可怕	k er p a
可怕    k iong b o
可惜	k er s i
可惜    bh or c ai
可惜    k or s iorh
可惡    k or  onn
可愛	k er ai
可愛    g o z ui
可愛    k or  ai
可憐	k er l ien
可憐    k or l en
可是	k er sh ii
可是     iau  m g orh
可是    d an s i
可能	k er n ng
可能    h uan s e
可能    k or l ing
可能性	k er n ng s ing
可靠	k er k au
台	t ai
台    d ai
台中	t ai zh ong
台中市	t ai zh ong sh ii
台北	t ai b ei
台北    d ai b ak
台北市	t ai b ei sh ii
台北縣	t ai b ei s ien
台南	t ai n an
台南    d ai l am
台大	t ai d a
台幣	t ai b i
台東	t ai d ong
台東    d ai d ang
台灣	t ai uan
台灣人	t ai uan rh ern
叱	ch ii
史	sh ii
史    s u
右	iou
右    z iann
右邊	iou b ien
右邊    z iann b ing
叵	p uo
司	s ii
司機	s ii z i
司法	s ii f a
叼	d iau
吁	s yu
吃	ch ii
吃    z iah
吃到	ch ii d au
吃到    z iah d iorh
吃完	ch ii uan
吃飯	ch ii f an
吃飯    z iah b ng
吃飽    z iah b a
各	g er
各    g ok
各位	g er uei
各位    g ok  ui
各地	g er d i
各種    g ok z iong
各自	g er z ii
吆	iau
合	h er
合    h ah
合    h ap
合作	h er z uo
合作    h ap z ok
合併	h er b ing
合成	h er ch ng
合法	h er f a
合理	h er l i
合約	h er yue
合適	h er sh ii
吉	z i
吉他	z i t a
吉他    gh i d a
吊	d iau
吊    d iau
吋	c un
同	t ong
同    d ong
同    g ang
同事	t ong sh ii
同事    d ong s u
同學	t ong s yue
同學    d ong c ong
同學    d ong h ak
同志	t ong zh ii
同情    d ong z ing
同意	t ong i
同時	t ong sh ii
同時    d ang z e
同時    d ong s i
同樣	t ong iang
同樣    g ang k uan
同步	t ong b u
名	m ing
名    bh ing
名    m ia
名人	m ing rh ern
名單	m ing d an
名字	m ing z ii
名片	m ing p ien
名稱	m ing ch ng
名聲    m ia s iann
名錄	m ing l u
后	h ou
吏	l i
吐	t u
吐    t o
向	s iang
向     ng
向    h iong
向前	s iang c ien
向前    h iong z en
向日葵    t ai  iong h ue
君	z yun
君    g un
君子    g un z u
吝	l in
吞	t un
吞    t un
吟	in
吠	f ei
否	f ou
否則	f ou z er
否則    h onn z ik
吧	b a
吩	f ern
吩咐    h uan h u
含	h an
含    g am
含    h am
含有	h an iou
吭	h ang
吭	k ng
吮	sh un
吱	z ii
吱	zh ii
吳	u
吳    ng o
吵	ch au
吵    c a
吶	n a
吸	s i
吸引	s i in
吸收	s i sh ou
吹	ch uei
吹    b un
吹    c ue
吻	un
吼	h ou
吼    h au
吾	u
吾    ng o
呀	ia
呂	l yu
呃	er
呆	d ai
呆呆    gh ong gh ong
呆瓜    gh en t au
呈	ch ng
呈現	ch ng s ien
告	g au
告    g or
告知	g au zh ii
告訴	g au s u
呎	ch ii
呢	n er
呢	n i
周	zh ou
周    z iu
周圍	zh ou uei
周年	zh ou n ien
周邊	zh ou b ien
呱	g ua
呲	c ii
味	uei
味道	uei d au
味道    bh i
味道    k i bh i
味道    z u bh i
呵	h er
呵呵	h er h er
呸	p ei
呻	sh ern
呼	h u
呼吸	h u s i
呼吸    c uan k ui
命	m ing
命    bh ing
命    m ia
命令	m ing l ing
命名	m ing m ing
命運	m ing yun
命運     un m ia
命運    m ia  un
咄	d uo
咆	p au
和	h er
和	h uo
和    c am
和    g ah
和    h am
和尚    h ue s iunn
和平	h er p ing
和諧	h er s ie
咎	z iou
咐	f u
咒	zh ou
咕	g u
咖	k a
咖哩    g a l i
咖啡	k a f ei
咖啡    g a b i
咚	d ong
咦	i
咧	l ie
咨	z ii
咫	zh ii
咬	iau
咬    g a
咯	g er
咯	l er
咱	z an
咳	k er
咳    s au
咸	s ien
咻	s iou
咽	ie
咽	ien
哀	ai
哀     ai
品	p in
品味	p in uei
品牌	p in p ai
品種	p in zh ong
品質	p in zh ii
哄	l au
哇	ua
哈	h a
哈    h a
哈    h ah
哈哈	h a h a
哉	z ai
哎	ai
哎唷     ai  iorh
哎唷     aih  iorh
哎啊     aih  ah
哎喲     ai  ior
哎喲喂     ai  ior  ue
員	yuan
員工	yuan g ong
哥	g er
哥哥	g er g er
哥哥     a h iann
哥哥    g or g orh
哥哥    h iann g or
哦	er
哦	o
哧	ch ii
哨	sh au
哩	l i
哪	n a
哪    d or
哪    n a
哪些	n a s ie
哪個	n a g er
哪當時    h it d ong s i
哪裡	n a l i
哪裡    d or  ui
哭	k u
哭    h au
哭    k au
哮	s iau
哲	zh er
哲學	zh er s yue
哺	b u
哼	h ng
哽	g ng
唇	ch un
唇	zh ern
唉	ai
唉    h aih
唉唷    h aih  iorh
唏	s i
唐	t ang
唧	z i
唪	f ng
唬	h u
售	sh ou
售價	sh ou z ia
唯	uei
唯一	uei i
唯一     ui  it
唯有	uei iou
唱	ch ang
唱    c iunn
唱歌	ch ang g er
唱歌    c iunn g ua
唱片	ch ang p ien
唳	l i
唵	an
唷	io
唸	n ien
唸    l iam
唾	t uo
啃	k ern
啄	zh uo
商	sh ang
商    s iong
商務	sh ang u
商品	sh ang p in
商場	sh ang ch ang
商家	sh ang z ia
商店	sh ang d ien
商業	sh ang ie
商量    c am s iong
啊	a
問	un
問    bh un
問    m ng
問題	un t i
問題    bh un d e
啐	c uei
啜	ch uo
啞	ia
啟	c i
啟動	c i d ong
啡	f ei
啤	p i
啤酒	p i z iou
啥	sh a
啦	l a
啪	p a
啵	b uo
啻	ch ii
啼	t i
啼    t i
啾	z iou
喂	uei
喂     ue
喃	n an
善	sh an
善    s en
善良    s en l iong
喇	l a
喈	z ie
喉	h ou
喊	h an
喊    h iu
喊    h uah
喑	in
喔	o
喔	uo
喔    h oh
喘	ch uan
喙	h uei
喚	h uan
喜	s i
喜悅	s i yue
喜愛	s i ai
喜歡	s i h uan
喜歡    g ah  i
喝	h er
喝    h a
喝    l im
喝    z iah
喟	k uei
喧	s yuan
喪	s ang
喬	c iau
單	d an
單	sh an
單一	d an i
單位	d an uei
單元	d an yuan
單純	d an ch un
單車	d an ch er
喱	l i
喲	iau
喳	ch a
喳	zh a
喵	m iau
喻	yu
嗅	s iou
嗆	c iang
嗇	s er
嗌	i
嗎	m a
嗑	k er
嗔	ch ern
嗚	u
嗜	sh ii
嗝	g er
嗟	z ie
嗡	ung
嗣	s ii
嗨	h ai
嗯	ern
嗶	b i
嗷	au
嗽	s ou
嘀	d i
嘁	c i
嘆	t an
嘈	c au
嘉	z ia
嘉南    g a l am
嘉義	z ia i
嘉義    g a gh i
嘌	p iau
嘍	l ou
嘎	g a
嘔	ou
嘖	z er
嘗	ch ang
嘗試	ch ang sh ii
嘛	m a
嘯	s iau
嘰	z i
嘲	ch au
嘴	z uei
嘴    c ui
嘴    c ui  a
嘴脣    c ui d un
嘶	s ii
嘹	l iau
嘻	s i
嘻    h i
嘿	h ei
嘿	m uo
噁	er
噌	c ng
噓	s yu
噗	p u
噘	z yue
噙	c in
噢	ou
噢	yu
噤	z in
噥	n ong
噦	yue
器	c i
器官	c i g uan
器材	c i c ai
噩	er
噪	z au
噫	i
噬	sh ii
噱	z yue
噴	p ern
噴    bh u
噶	g a
噶	g er
噸	d un
噹	d ang
嚀	n ing
嚅	rh u
嚇	s ia
嚇    h eh g iann
嚎	h au
嚏	t i
嚐	ch ang
嚓	c a
嚕	l u
嚗	b uo
嚜	m uo
嚥	ien
嚮	s iang
嚳	k u
嚴	ien
嚴格	ien g er
嚴重	ien zh ong
嚴重    gh iam d iong
嚴重    l i h ai
嚵	ch an
嚶	ing
嚷	rh ang
嚼	z iau
嚼	z yue
嚼    b o
囁	n ie
囂	s iau
囈	i
囉	l uo
囉嗦    l or s or
囊	n ang
囑	zh u
囔	n ang
囚	c iou
四	s ii
四    s i
四    s u
四十    s i z ap
四季    s u g ui
囝	z ien
回	h uei
回    b en
回    h ue
回    z ua
回來	h uei l ai
回來    d ng l ai
回來    d or d ng l ai
回到	h uei d au
回去	h uei c yu
回去    d ng k i
回去    d or d ng
回去    d or d ng k i
回報	h uei b au
回家	h uei z ia
回家    l ai d ng
回復	h uei f u
回憶	h uei i
回應	h uei ing
回應    h ue d ap
回收	h uei sh ou
回收    h ue s iu
回歸	h uei g uei
回答	h uei d a
回答    h ue d ap
回覆	h uei f u
回頭	h uei t ou
回頭     uat t au
回顧	h uei g u
回饋	h uei k uei
因	in
因應	in ing
因此	in c ii
因此    z iu  an n e
因為	in uei
因為     in  ui
因為     ui
因素	in s u
因而	in err
囤	d un
囤	t un
囧	z iong
囪	c ong
囫	h u
困	k un
困擾	k un rh au
困難	k un n an
困難    k un l an
固	g u
固定	g u d ing
圃	p u
圄	yu
圇	l un
圈	c yuan
圈    k o
圉	yu
國	g uo
國    g ok
國中	g uo zh ong
國中    g ok d iong
國人	g uo rh ern
國內	g uo n ei
國外	g uo uai
國家	g uo z ia
國小	g uo s iau
國小    g ok s ior
國師    g ok s u
國文    g ok bh un
國會	g uo h uei
國民	g uo m in
國民黨	g uo m in d ang
國王	g uo uang
國立	g uo l i
國語	g uo yu
國際	g uo z i
圍	uei
圍爐     ui l o
園	yuan
園    h ng
園區	yuan c yu
圓	yuan
圓     inn
圓仔     inn  a
圓圈     inn k o  a
圓圓     inn  inn
圓滿	yuan m an
圖	t u
圖像	t u s iang
圖書	t u sh u
圖書館	t u sh u g uan
圖書館    d o s u g uan
圖案	t u an
圖片	t u p ien
團	t uan
團圓    t uan  inn
團隊	t uan d uei
團體	t uan t i
圜	yuan
土	t u
土    t o
土地	t u d i
土地    t o d e
土地公    t o d i g ong
土豆    t o d au
在	z ai
在    d eh
在    d i
在    d i l eh
在    d iam
在    d ua
在    z ai
在一起	z ai i c i
在乎	z ai h u
在家	z ai z ia
在意	z ai i
在於	z ai yu
在此	z ai c ii
圩	yu
圬	u
圭	g uei
圮	p i
地	d i
地    d e
地上	d i sh ang
地上    t o k a
地下	d i s ia
地位	d i uei
地區	d i c yu
地區    d e h ng
地名    d e m ia
地圖	d i t u
地址	d i zh ii
地方	d i f ang
地方    d e h ng
地方    s o z ai
地板	d i b an
地板    t o k a
地獄	d i yu
地獄    d e gh ak
地球	d i c iou
地球    d e g iu
地理	d i l i
地鐵	d i t ie
地震	d i zh ern
地震    d e d ang
地面	d i m ien
地面    t o k a
地點	d i d ien
圳	ch ou
圳	z un
圴	z un
圾	s er
圾	z i
址	zh ii
均	z yun
坊	f ang
坍	t an
坎	k an
坐	z uo
坐    z e
坑	k ng
坡	p uo
坤	k un
坦	t an
坨	t uo
坩	g an
坪	p ing
坯	p ei
坯	p i
坳	au
坵	c iou
坷	k er
坻	ch ii
坻	d i
坼	ch er
垂	ch uei
垃	l er
垃圾	l er s er
垃圾    b un s or
型	s ing
型    h ing
型態	s ing t ai
垌	d ong
垚	iau
垛	d uo
垠	in
垢	g ou
垣	yuan
垮	k ua
埃	ai
埃及	ai z i
埋	m ai
城	ch ng
城市	ch ng sh ii
城市    s iann c i
埔	b u
埔	p u
埕	ch ng
域	yu
埠	b u
埤	b i
埤	p i
執	zh ii
執行	zh ii s ing
培	p ei
培訓	p ei s yun
培養	p ei iang
基	z i
基因	z i in
基地	z i d i
基於	z i yu
基本	z i b ern
基本上	z i b ern sh ang
基督	z i d u
基督徒	z i d u t u
基督教	z i d u z iau
基礎	z i ch u
基金	z i z in
基金會	z i z in h uei
基隆	z i l ong
基隆    g e l ang
埼	c i
堀	k u
堂	t ang
堅	z ien
堅強	z ien c iang
堅持	z ien ch ii
堅持    g en c i
堆	d uei
堆    d ui
堇	z in
堉	yu
堋	p ng
堡	b au
堤	t i
堪	k an
堯	iau
堰	ien
報	b au
報    b or
報名	b au m ing
報名    b or m ia
報告	b au g au
報導	b au d au
報導    b or d or
報答    b or d ap
報紙	b au zh ii
報紙    b or z ua
報紙    s in bh un
報道	b au d au
場	ch ang
場    d iunn
場地	ch ang d i
場所	ch ang s uo
場景	ch ang ing
場景	ch ang z ing
堵	d u
塊	k uai
塊    d e
塊    k u
塌	t a
塍	ch ng
塑	s u
塑膠	s u z iau
塑膠    s ok g a
塔	t a
塔    t ah
塗	t u
塗    t o
塘	t ang
塚	zh ong
塞	s er
塞    t at
塢	u
填	t ien
填寫	t ien s ie
塵	ch ern
塹	c ien
塾	sh u
墀	ch ii
境	z ing
境界	z ing z ie
墅	sh u
墉	iong
墊	d ien
墓	m u
墓場    bh ong  a b o
墘	c ien
墜	zh uei
增	z ng
增加	z ng z ia
增加    g e
增加    z ing g a
增強	z ng c iang
增長	z ng ch ang
增長	z ng zh ang
墟	s yu
墨	m uo
墩	d un
墮	d uo
墳	f ern
墾	k ern
墾丁	k ern d ing
壁	b i
壁    b iah
壅	iong
壇	t an
壎	s yun
壑	h uo
壓	ia
壓    d eh
壓力	ia l i
壕	h au
壘	l ei
壙	k uang
壞	h uai
壞    h ai
壞    p ainn
壟	l ong
壢	l i
壤	rh ang
壩	b a
士	sh ii
壬	rh ern
壯	zh uang
壯士    z ong s u
壹	i
壹     it
壺	h u
壼	k un
壽	sh ou
壽司	sh ou s ii
复	f ou
夏	s ia
夏天	s ia t ien
夏天    r uah t inn
夕	s i
外	uai
外    gh ua
外交	uai z iau
外公    gh ua g ong
外國	uai g uo
外套	uai t au
外婆    gh ua m a
外掛	uai g ua
外表	uai b iau
外觀	uai g uan
外面	uai m ien
外面    gh ua k au
夙	s u
多	d uo
多    d or
多    z e
多久	d uo z iou
多元	d uo yuan
多多	d uo d uo
多媒體	d uo m ei t i
多少	d uo sh au
多少    g e g iam
多少    gh ua
多少    gh ua z e
多數	d uo sh u
多話    g au  ue
夜	ie
夜     ia
夜    m e
夜市	ie sh ii
夜市     ia c i
夜晚	ie uan
夜晚     am m e
夜晚     am s i
夠	g ou
夠    g au
夢	m ng
夢    bh ang
夢中    bh ang d iong
夢到    bh ang d iorh
夢想	m ng s iang
夢想    bh in bh ang
夤	in
夥	h uo
夥伴	h uo b an
大	d a
大    d ai
大    d ua
大人	d a rh ern
大人    d ai r in
大人    d ua l ang
大哥	d a g er
大哥    d ua g or
大地	d a d i
大圳    d ua z un
大型	d a s ing
大多	d a d uo
大多數	d a d uo sh u
大大	d a d a
大大小小    d ua d ua s e s e
大學	d a s yue
大學	t ai s yue
大學    d ai h ak
大學生	d a s yue sh ng
大學生	t ai s yue sh ng
大家	d a g u
大家	d a z ia
大家    d ak g e
大小	d a s iau
大小    d ua s e
大師	d a sh ii
大幅	d a f u
大廈	d a s ia
大廳    d ua t iann
大戰	d a zh an
大會	d a h uei
大條    d ua d iau
大概	d a g ai
大概    d ai k ai
大樓	d a l ou
大樓    d ua l au
大橋    d ua g ior
大法	d a f a
大海    d ua h ai
大溪    d ai k e
大眾	d a zh ong
大約	d a yue
大約    d ai  iok
大聲	d a sh ng
大聲    d ua s iann
大腦	d a n au
大自然	d a z ii rh an
大賽	d a s ai
大道	d a d au
大部份	d a b u f ern
大部份    d ua b o h un
大部分	d a b u f ern
大量	d a l iang
大陸	d a l u
大雨    d ua h o
天	t ien
天    t en
天    t inn
天下	t ien s ia
天下    t en h a
天亮    t inn g ng
天使	t ien sh ii
天公    t inn g ong
天地	t ien d i
天地    t inn d e
天堂	t ien t ang
天天	t ien t ien
天星    t inn c enn
天氣	t ien c i
天氣    t inn k i
天然	t ien rh an
天然    t en r en
天空	t ien k ong
天空    t inn d ing
天邊    t inn b inn
太	t ai
太    s iunn
太    t ai
太太	t ai t ai
太太    bh o
太太    t ai t ai
太太    z a bh o l ang
太平洋	t ai p ing iang
太武村    t ai bh u s uann
太過	t ai g uo
太陽	t ai iang
太陽    r it t au
太陽能	t ai iang n ng
夫	f u
夫人	f u rh ern
夫妻	f u c i
夫妻     ang  a bh o
夫婦	f u f u
夭	iau
央	iang
夯	h ang
失	sh ii
失    s it
失去	sh ii c yu
失去    s it k i
失敗	sh ii b ai
失敗    s it b ai
失望	sh ii uang
失望    s it bh ong
失禮    s it l e
夷	i
夸	k ua
夾	z ia
夾    ng eh
奄	ien
奇	c i
奇    g i
奇妙	c i m iau
奇怪	c i g uai
奇怪    g i
奇怪    g i g uai
奇蹟    g i z ik
奈	n ai
奉	f ng
奉    h ong
奎	k uei
奏	z ou
奐	h uan
契	c i
契約	c i yue
奓	zh a
奔	b ern
奕	i
套	t au
套    h u
套房	t au f ang
套餐	t au c an
奘	z ang
奚	s i
奠	d ien
奢	sh er
奧	au
奧運	au yun
奪	d uo
奭	sh ii
奮	f ern
女	n yu
女    l i
女人	n yu rh ern
女人    z a bh o
女人    z a bh o l ang
女兒	n yu err
女兒    z a bh o g iann
女友	n yu iou
女士	n yu sh ii
女婢    z a bh o g an  a
女子	n yu z ii
女孩	n yu h ai
女性	n yu s ing
女性    l u s ing
女性    z a bh o
女王	n yu uang
女生	n yu sh ng
女生    z a bh o
女生    z a bh o l ang
奴	n u
奶	n ai
奶    l ing
奶奶     a m a
奸	z ien
奸臣    g an s in
奼	ch a
好	h au
好    h or
好久	h au z iou
好似	h au s ii
好像	h au s iang
好像    bh e s u
好像    c in c iunn
好像    g ann n a
好像    n a
好像    n a c in c iunn
好像    n a c iunn
好友	h au iou
好吃	h au ch ii
好吃	h au z i
好吃    h or z iah
好命    h or m ia
好在    g a z ai
好多	h au d uo
好天氣    h or t inn
好奇	h au c i
好奇    h onn g i
好好	h au h au
好好    h or h or
好好的    h or h or  a
好幾	h au z i
好幾    g ui n a
好招    p et b o
好料    h or l iau
好玩	h au uan
好玩    h or s ng
好用	h au iong
好用    h or  ing
好看	h au k an
好看    bh i l e
好看    h or k uann
好禮    h or l e
好笑	h au s iau
好笑    h or c ior
好聽	h au t ing
好聽    h or t iann
好處	h au ch u
好話    h or  ue
好運    h or  un
妁	sh uo
如	rh u
如    r u
如下	rh u s ia
如今	rh u z in
如今    d ann
如今    g au d ann
如今    r u g im
如何	rh u h er
如何    r u h or
如何    z uann  iunn
如同	rh u t ong
如是	rh u sh ii
如果	rh u g uo
如果    g a s u
如果    n a
如果    n a s i
如果    n a z un
如果    r u g or
如此	rh u c ii
如此    z iah
妃	f ei
妄	uang
妊	rh ern
妍	ien
妒	d u
妓	z i
妖	iau
妖怪     iau g uai
妗	z in
妙	m iau
妝	zh uang
妝    z ng
妞	n iou
妣	b i
妤	yu
妥	t uo
妨	f ang
妮	n i
妹	m ei
妹    m ue
妹妹	m ei m ei
妹妹    m e m eh
妺	m uo
妻	c i
妻子	c i z ii
妻子    bh o
妾	c ie
姊	z ie
姊妹	z ie m ei
姊妹    z i m ue  a
姊姊     a z i
姊姊    z e z eh
始	sh ii
始終	sh ii zh ong
姍	sh an
姐	z ie
姐姐	z ie z ie
姑	g u
姑    g o
姑娘    g o n iu
姑媽     a g o
姓	s ing
姓    s enn
姓名	s ing m ing
委	uei
委員	uei yuan
委員會	uei yuan h uei
姘	p in
姚	iau
姜	z iang
姣	z iau
姥	l au
姥	m u
姦	z ien
姨	i
姪	zh ii
姬	z i
姮	h ng
姻	in
姿	z ii
姿勢	z ii sh ii
威	uei
威脅	uei s ie
娃	ua
娃娃	ua ua
娉	p ing
娌	l i
娑	s uo
娓	uei
娘	n iang
娘娘    n iu n iu
娘家    gh ua g e
娛	yu
娛樂	yu l er
娜	n uo
娟	z yuan
娠	sh ern
娣	d i
娥	er
娩	m ien
娶	c yu
娶    c ua
娶妻    c ua bh o
娼	ch ang
婁	l ou
婆	p uo
婆婆    b or b or
婆婆    d a g e
婉	uan
婊	b iau
婓	f ei
婕	z ie
婚	h un
婚姻	h un in
婚禮	h un l i
婚紗	h un sh a
婢	b i
婥	ch uo
婦	f u
婦女	f u n yu
婪	l an
婷	t ing
婿	s yu
媒	m ei
媒體	m ei t i
媚	m ei
媛	yuan
媧	ua
媬	b au
媳	s i
媳婦    s in b u
媽	m a
媽    m a
媽咪	m a m i
媽媽	m a m a
媽媽     a bh u
媽媽     a n ia
媽媽    bh u c in
媽媽    k a s ang
媽媽    l au bh u
媽媽    m a m ah
媽祖    m a z o
媽祖婆    m a z o b or
媾	g ou
嫁	z ia
嫁    g e
嫂	s au
嫋	n iau
嫌	s ien
嫌    h iam
嫖	p iau
嫡	d i
嫣	ien
嫦	ch ang
嫩	n ern
嫻	s ien
嬋	ch an
嬌	z iau
嬛	c iong
嬛	h uan
嬡	ai
嬤	m a
嬪	p in
嬰	ing
嬰兒	ing err
嬰兒     ang  enn  a
嬰兒     enn  a
嬴	ing
嬸	sh ern
孀	sh uang
子	z ii
子     a
子    z i
子女	z ii n yu
子女    g iann r i
子孫    g iann s un
孑	z ie
孓	z yue
孔	k ong
孕	yun
孖	z ii
字	z ii
字    r i
字幕	z ii m u
存	c un
存在	c un z ai
存在    z un z ai
孚	f u
孛	b ei
孛	b uo
孜	z ii
孝	s iau
孝    h au
孝順     iu h au
孟	m ng
孢	b au
季	z i
季節	z i z ie
孤	g u
孤    g o
孤單    g o d uann
孩	h ai
孩子	h ai z ii
孩子    g iann
孩子們	h ai z ii m ern
孫	s un
孫    s un
孬	n au
孰	sh u
孱	ch an
孳	z ii
孵	f u
學	s yue
學     orh
學位	s yue uei
學兄    h ak h ing
學員	s yue yuan
學年度	s yue n ien d u
學會	s yue h uei
學期	s yue c i
學校	s yue s iau
學校    h ak h au
學歷	s yue l i
學生	s yue sh ng
學生    d e z u
學生    h ak s ing
學習	s yue s i
學習     orh
學習    h ak s ip
學者	s yue zh er
學術	s yue sh u
學院	s yue yuan
孺	rh u
孽	n ie
孿	l uan
孿	l yuan
它	t a
它	t uo
它們	t a m ern
宅	zh ai
宇	yu
宇宙	yu zh ou
守	sh ou
守    s iu
安	an
安     an
安全	an c yuan
安全     an z uan
安全帽     an z uan bh or
安心	an s in
安心     an s im
安慰	an uei
安慰     an  ui
安排	an p ai
安排     an b ai
安裝	an zh uang
安靜	an z ing
安靜     an z ing
安靜    d iam d iam
宋	s ong
完	uan
完     uan
完    k i
完    l i
完    l iau
完全	uan c yuan
完全     uan z uan
完善	uan sh an
完成	uan ch ng
完成     uan s ing
完整	uan zh ng
完畢	uan b i
完畢    t au
完美	uan m ei
宏	h ong
宕	d ang
宗	z ong
宗教	z ong z iau
官	g uan
官    g uann
官員	g uan yuan
官方	g uan f ang
宙	zh ou
定	d ing
定    d iann
定    d ing
定位	d ing uei
定期	d ing c i
定義	d ing i
宛	uan
宜	i
宜蘭	i l an
宜蘭    gh i l an
客	k er
客人	k er rh ern
客人    l ang k eh
客家	k er z ia
客廳    k eh t iann
客戶	k er h u
客房	k er f ang
客服	k er f u
客氣    k eh k i
客運	bh a s u
宣	s yuan
宣    s uan
宣佈	s yuan b u
宣傳	s yuan ch uan
宣布	s yuan b u
室	sh ii
室內	sh ii n ei
宥	iou
宦	h uan
宮	g ong
宰	z ai
害	h ai
害    h ai
害怕	h ai p a
害羞    g iann g en s iau
害蟲    h ai t ang
宴	ien
宵	s iau
家	z ia
家    d au
家    g a
家    g e
家中	z ia zh ong
家人	z ia rh ern
家具	z ia z yu
家庭	z ia t ing
家庭    g a d ing
家族	z ia z u
家裡	z ia l i
家裡    c u l ai
家鄉    g a h iong
家長	z ia zh ang
宸	ch ern
容	rh ong
容     iong
容易	rh ong i
容量	rh ong l iang
宿	s iou
宿	s u
宿舍	s u sh er
寂	z i
寂寞	z i m uo
寂寞    h i bh i
寂寞    z ik bh ok
寄	z i
寅	in
密	m i
密碼	m i m a
寇	k ou
富	f u
富有    h or gh iah
寐	m ei
寒	h an
寒    g uann
寓	yu
寞	m uo
察	ch a
寡	g ua
寡    g ua
寢	c in
寢    c im
寤	u
寥	l iau
實	sh ii
實力	sh ii l i
實務	sh ii u
實在	sh ii z ai
實在    k ak s it
實在    s it z ai
實施	sh ii sh ii
實現	sh ii s ien
實現    s it h en
實用	sh ii iong
實習	sh ii s i
實踐	sh ii z ien
實際	sh ii z i
實驗	sh ii ien
實驗室	sh ii ien sh ii
實體	sh ii t i
寧	n ing
寨	zh ai
審	sh ern
審查	sh ern ch a
寫	s ie
寫    s ia
寫作	s ie z uo
寫字    s ia r i
寫真	s ie zh ern
寬	k uan
寬    k uah
寮	l iau
寰	h uan
寵	ch ong
寵物	ch ong u
寶	b au
寶    b or
寶劍    b or g iam
寶寶	b au b au
寶島    b or d or
寶貝	b au b ei
寶貝    b or b ue
寸	c un
寸    c un
寺	s ii
封	f ng
封    h ong
封面	f ng m ien
射	sh er
將	z iang
將    z iong
將來	z iang l ai
將來     au b ai
將來    bh i l ai
將來    z iong l ai
將軍	z iang z yun
將軍    z iong g un
將近	z iang z in
專	zh uan
專利	zh uan l i
專區	zh uan c yu
專家	zh uan z ia
專屬	zh uan sh u
專案	zh uan an
專業	zh uan ie
專欄	zh uan l an
專注	zh uan zh u
專用	zh uan iong
專輯	zh uan z i
專門	zh uan m ern
專門    z uan bh un
專題	zh uan t i
尉	uei
尊	z un
尊    z un
尊重	z un zh ong
尋	s yun
尋找	s yun zh au
尋求	s yun c iou
對	d uei
對    d iorh
對不起	d uei b u c i
對了	d uei l er
對待	d uei d ai
對待    d ui t ai
對手	d uei sh ou
對抗	d uei k ang
對方	d uei f ang
對方    d ui h ong
對於	d uei yu
對於    z iu
對此	d uei c ii
對話	d uei h ua
對象	d uei s iang
對面	d uei m ien
對面    d ui bh in
導	d au
導師	d au sh ii
導演	d au ien
導致	d au zh ii
小	s iau
小    g iann
小    s e
小    s ior
小偷    c at  a
小兔崽子    g au gh in  a
小兔崽子    g au s i gh in  a
小吃	s iau ch ii
小型	s iau s ing
小妹    s ior m ue
小姐	s iau z ie
小姐    s ior z ia
小子    s iau z u
小孩	s iau h ai
小孩    gh in  a
小孩    gh in  a l ang
小學	s iau s yue
小學    s ior h ak
小小	s iau s iau
小小    s ior s ior
小弟	s iau d i
小弟    s ior d i
小心	s iau s in
小心    s e r i
小心    s ior s im
小心    z im z iok
小心    z u  i
小時	s iau sh ii
小時    d iam z ing
小時候	s iau sh ii h ou
小時候    s e h an
小朋友	s iau p ng iou
小朋友    gh in  a h iann
小朋友    s ior b ing  iu
小狗    g au  a g iann
小組	s iau z u
小說	s iau sh uo
少	sh au
少    z ior
少女	sh au n yu
少年	sh au n ien
少年    s iau l en
少年人    s iau l en l ang
少數	sh au sh u
少棒隊    s iau b ang d ui
尖	z ien
尚	sh ang
尢	uang
尤	iou
尤其	iou z i
尤其     iu g i
尪	uang
尬	g a
就	z iou
就    d or
就    z iu
就是	z iou sh ii
就業	z iou ie
就算	z iou s uan
