漢字,羅馬字,來源,會用得無
!,!,詞彙分級
!,！,詞彙分級
出國的,tshut4-kok4-e5,twisas-語料庫系統
出國矣,tshut4-kok4-ah4,twisas-語料庫系統
出國矣,tshut4-kok4-ah4,教典例句
出國過,tshut4-kok4-kue3,教典例句
出團,tshut4-thuan5,教典詞條
出土,tshut4-thoo2,教典詞條
出土,tshut4-thoo2,詞彙分級
出堂,tshut4-tng5,詞彙分級
出場,tshut4-tiunn5,教典詞條
出場,tshut4-tiunn5,詞彙分級
出境,tshut4-king2,教典例句
出境,tshut4-king2,教典詞條
出外,tshut4-gua7,itaigi
出外,tshut4-gua7,教典例句
出外,tshut4-gua7,教典詞條
出外,tshut4-gua7,詞彙分級
出外人,tshut4-gua7-lang5,教典例句
出外人,tshut4-gua7-lang5,詞彙分級
出嫁,tshut4-ke3,教典例句
出嫁,tshut4-ke3,教典詞條
出嫁,tshut4-ke3,詞彙分級
出家,tshut4-ke1,教典例句
出家,tshut4-ke1,教典詞條
出家,tshut4-ke1,詞彙分級
出家人,tshut4-ke1-lang5,教典例句
出家人,tshut4-ke1-lang5,詞彙分級
出寡,tshut4-kua2,教典例句
出山,tshut4-suann1,教典例句
出山,tshut4-suann1,教典詞條
出山,tshut4-suann1,詞彙分級
出巡,tshut4-sun5,itaigi
出巡,tshut4-sun5,教典詞條
出巡,tshut4-sun5,詞彙分級
出差,tshut4-tshai1,twisas-語料庫系統
出差,tshut4-tshai1,教典詞條
出差,tshut4-tshai1,詞彙分級
出差,tshut4-tshe1,教典詞條
出帆,tshut4-phang5,twisas-語料庫系統
出帆,tshut4-phang5,教典例句
出帆,tshut4-phang5,教典詞條
出帆,tshut4-phang5,詞彙分級
出帆矣,tshut4-phang5-ah4,教典例句
出師,tshut4-sai1,twisas-語料庫系統
出師,tshut4-sai1,教典詞條
出師,tshut4-sai1,詞彙分級
出師矣,tshut4-sai1-ah4,twisas-語料庫系統
出師矣,tshut4-sai1-ah4,教典例句
出師矣乎,tshut4-sai1-ah4-honnh4,twisas-語料庫系統
出師矣啦,tshut4-sai1-ah4-lah4,twisas-語料庫系統
出席,tshut4-sik8,教典例句
出席,tshut4-sik8,教典詞條
出席,tshut4-sik8,詞彙分級
出庭,tshut4-ting5,itaigi
出庭,tshut4-ting5,教典詞條
出廠,tshut4-tshiunn2,教典詞條
出張,tshut4-tiunn1,教典例句
出張,tshut4-tiunn1,教典詞條
出張,tshut4-tiunn1,詞彙分級
出張呢,tshut4-tiunn1-neh4,twisas-語料庫系統
出張轉來矣喔,tshut4-tiunn1-tng2-lai5-ah4-ooh4,twisas-語料庫系統
出征,tshut4-tsing1,詞彙分級
出戰,tshut4-tsian3,詞彙分級
出手,tshut4-tshiu2,教典例句
出手,tshut4-tshiu2,教典詞條
出手,tshut4-tshiu2,詞彙分級
出招,tshut4-tsiau1,詞彙分級
出擊,tshut4-kik4,教典詞條
出擊,tshut4-kik4,詞彙分級
出日,tshut4-jit8,itaigi
出日,tshut4-jit8,教典例句
出日,tshut4-jit8,詞彙分級
出業,tshut4-giap8,教典例句
出業,tshut4-giap8,教典詞條
出業,tshut4-giap8,詞彙分級
出氣,tshut4-khui3,twisas-語料庫系統
出氣,tshut4-khui3,教典例句
出氣,tshut4-khui3,教典詞條
出氣,tshut4-khui3,詞彙分級
出氣咧,tshut4-khui3-leh4,twisas-語料庫系統
出氣啊,tshut4-khui3-ah4,twisas-語料庫系統
出水,tshut4-tsui2,itaigi
出水,tshut4-tsui2,教典例句
出水,tshut4-tsui2,教典詞條
出水村,tshut4-tsui2-tshun1,詞彙分級
出汗,tshut4-kuann7,詞彙分級
出泉,tshut4-tsuann5,itaigi
出海,tshut4-hai2,itaigi
出海,tshut4-hai2,教典詞條
出海,tshut4-hai2,詞彙分級
出海口,tshut4-hai2-khau2,詞彙分級
出港,tshut4-kang2,教典詞條
出港,tshut4-kang2,詞彙分級
出潲,tshut4-siau5,itaigi
出炊,tshut4-tshue1,詞彙分級
出爐,tshut4-loo5,教典詞條
出爐,tshut4-loo5,詞彙分級
出爐矣,tshut4-loo5-ah4,twisas-語料庫系統
出爐矣喔,tshut4-loo5-ah4-ooh4,twisas-語料庫系統
出版,tshut4-pan2,教典例句
出版,tshut4-pan2,教典詞條
出版業,tshut4-pan2-giap8,詞彙分級
出獄,tshut4-gak8,教典詞條
出珠,tshut4-tsu1,教典例句
出珠,tshut4-tsu1,教典詞條
出現,tshut4-hian7,twisas-語料庫系統
出現,tshut4-hian7,教典例句
出現,tshut4-hian7,教典詞條
出現,tshut4-hian7,詞彙分級
出現囉,tshut4-hian7-loh4,twisas-語料庫系統
出生,tshut4-senn1,twisas-語料庫系統
出生,tshut4-senn1,教典詞條
出生,tshut4-sing1,itaigi
出生,tshut4-sinn1,教典詞條
出生,tshut4-sinn1,詞彙分級
出產,tshut4-san2,教典例句
出產,tshut4-san2,教典詞條
出產,tshut4-san2,詞彙分級
出產地,tshut4-san2-te7,詞彙分級
出癖,tshut4-phiah8,教典例句
出癖,tshut4-phiah8,教典詞條
出癖,tshut4-phiah8,詞彙分級
出發,tshut4-huat4,教典詞條
出發,tshut4-huat4,詞彙分級
出發啦,tshut4-huat4-lah4,twisas-語料庫系統
出發矣,tshut4-huat4-ah4,twisas-語料庫系統
出發矣乎,tshut4-huat4-ah4-honnh4,twisas-語料庫系統
出發點,tshut4-huat4-tiam2,詞彙分級
出的,tshut4-e5,twisas-語料庫系統
出的,tshut4-e5,教典例句
出眾,tshut4-tsing3,詞彙分級
出社會,tshut4-sia7-hue7,教典例句
出社會,tshut4-sia7-hue7,詞彙分級
出租,tshut4-tsoo1,教典詞條
出箠,tshut4-tshue5,教典詞條
出納,tshut4-lap8,詞彙分級
出經,tshut4-king1,itaigi
出聲,tshut4-siann1,教典例句
出聲,tshut4-siann1,教典詞條
出聲,tshut4-siann1,詞彙分級
出聲喔,tshut4-siann1-ooh4,twisas-語料庫系統
出脫,tshut4-thuat4,twisas-語料庫系統
出脫,tshut4-thuat4,教典例句
出脫,tshut4-thuat4,教典詞條
出脫,tshut4-thuat4,詞彙分級
出膿,tshut4-lang5,教典詞條
出膿矣,tshut4-lang5-ah4,教典例句
出色,tshut4-sik4,教典詞條
出色,tshut4-sik4,詞彙分級
出芽,tshut4-ge5,itaigi
出芽,tshut4-ge5,詞彙分級
出血,tshut4-hueh4,教典詞條
出血,tshut4-hueh4,詞彙分級
出血,tshut4-huih4,教典詞條
出貨,tshut4-he3,教典詞條
出貨,tshut4-hue3,教典詞條
出貴,tshut4-kui2,itaigi
出賣,tshut4-be7,教典例句
出賣,tshut4-be7,教典詞條
出賣,tshut4-bue7,教典詞條
出賣我的,tshut4-be7-gua2-e5,教典例句
出路,tshut4-loo7,教典詞條
出路,tshut4-loo7,詞彙分級
出路呢,tshut4-loo7-neh4,twisas-語料庫系統
出身,tshut4-sin1,教典例句
出身,tshut4-sin1,教典詞條
出身,tshut4-sin1,詞彙分級
出遊,tshut4-iu5,詞彙分級
出運,tshut4-un7,教典詞條
出運矣,tshut4-un7-ah4,教典例句
出酒,tshut4-tsiu2,教典例句
出酒,tshut4-tsiu2,教典詞條
出錢,tshut4-tsinn5,詞彙分級
出門,tshut4-mng5,twisas-語料庫系統
出門,tshut4-mng5,教典例句
出門,tshut4-mng5,教典詞條
出門,tshut4-mng5,詞彙分級
出門,tshut4-mui5,itaigi
出門呢,tshut4-mng5-neh4,twisas-語料庫系統
出門矣,tshut4-mng5-ah4,教典例句
出門矣乎,tshut4-mng5-ah4-honnh4,twisas-語料庫系統
出院,tshut4-inn7,教典詞條
出院,tshut4-inn7,詞彙分級
出院矣,tshut4-inn7-ah4,詞彙分級
出面,tshut4-bin7,twisas-語料庫系統
出面,tshut4-bin7,教典例句
出面,tshut4-bin7,教典詞條
出面,tshut4-bin7,詞彙分級
出面矣,tshut4-bin7-ah4,教典例句
出頭,tshut4-thau5,twisas-語料庫系統
出頭,tshut4-thau5,教典例句
出頭,tshut4-thau5,教典詞條
出頭,tshut4-thau5,詞彙分級
出頭天,tshut4-thau5-thinn1,itaigi
出頭天,tshut4-thau5-thinn1,twisas-語料庫系統
出頭天,tshut4-thau5-thinn1,教典例句
出頭天,tshut4-thau5-thinn1,教典詞條
出頭天,tshut4-thau5-thinn1,詞彙分級
出頭天矣啦,tshut4-thau5-thinn1-ah4-lah4,twisas-語料庫系統
出頭矣,tshut4-thau5-ah4,教典例句
出題,tshut4-te5,詞彙分級
出類拔萃,tshut4-lui7-puat8-tshui3,詞彙分級
出風口,tshut4-hong1-khau2,教典詞條
出風頭,tshut4-hong1-thau5,教典例句
出風頭,tshut4-hong1-thau5,教典詞條
出風頭,tshut4-hong1-thau5,詞彙分級
出養,tshut4-iong2,itaigi
出馬,tshut4-ma2,twisas-語料庫系統
出馬,tshut4-ma2,教典例句
出馬,tshut4-ma2,教典詞條
出馬,tshut4-ma2,詞彙分級
出鬥,tshut4-tau3,詞彙分級
出來,tshut4-lai5,詞彙分級
函,ham5,教典詞條
函數,ham5-soo3,教典詞條
刀,to1,itaigi
刀,to1,twisas-語料庫系統
刀,to1,教典例句
刀,to1,教典詞條
刀,to1,詞彙分級
刀仔,to1-a2,itaigi
刀仔,to1-a2,教典例句
刀仔,to1-a2,教典詞條
刀仔,to1-a2,詞彙分級
刀仔肉,to1-a2-bah4,itaigi
刀具,to1-ku7,教典詞條
刀劍,to1-kiam3,詞彙分級
刀喙,to1-tshui3,itaigi
刀喙,to1-tshui3,教典例句
刀喙,to1-tshui3,教典詞條
刀嶺,to1-nia2,itaigi
刀斧,to1-poo2,詞彙分級
刀板,to1-pan2,itaigi
刀柄,to1-penn3,教典詞條
刀柄,to1-pinn3,教典詞條
刀石,to1-tsioh8,教典例句
刀石,to1-tsioh8,教典詞條
刀砧,to1-tiam1,教典詞條
刀肉,to1-bah4,教典例句
刀肉,to1-bah4,教典詞條
刀銎,to1-khing1,教典例句
刀銎,to1-khing1,教典詞條
刀鋩,to1-me5,教典例句
刀鞘,to1-siu3,教典例句
刁,thiau1,教典詞條
刁,tiau1,教典例句
刁,tiau1,教典詞條
刁古董,tiau1-koo2-tong2,教典例句
刁古董,tiau1-koo2-tong2,教典詞條
刁工,thiau1-kang1,twisas-語料庫系統
刁工,thiau1-kang1,教典例句
刁工,thiau1-kang1,教典詞條
刁工,thiau1-kang1,詞彙分級
刁工,tiau1-kang1,教典例句
刁工,tiau1-kang1,教典詞條
刁工,tiau1-kang1,詞彙分級
刁工的,thiau1-kang1-e5,詞彙分級
刁工的啦,thiau1-kang1-e5-lah4,twisas-語料庫系統
刁意故,thiau1-i3-koo3,教典詞條
刁意故,thiau1-i3-koo3,詞彙分級
刁意故,tiau1-i3-koo3,教典詞條
刁意故的,thiau1-i3-koo3-e5,教典例句
刁持,thiau1-ti5,教典詞條
刁持,tiau1-ti5,教典例句
刁持,tiau1-ti5,教典詞條
刁故意,thiau1-koo3-i3,twisas-語料庫系統
刁故意,thiau1-koo3-i3,教典詞條
刁故意,tiau1-koo3-i3,教典例句
刁故意,tiau1-koo3-i3,教典詞條
刁故意,tiau1-koo3-i3,詞彙分級
刁故意啊,thiau1-koo3-i3-ah4,twisas-語料庫系統
刁故意的,thiau1-koo3-i3-e5,twisas-語料庫系統
刁故意的,tiau1-koo3-i3-e5,教典例句
刁難,thiau1-lan5,教典例句
刁難,thiau1-lan5,教典詞條
刁難,thiau1-lan5,詞彙分級
刁難,tiau1-lan5,twisas-語料庫系統
刁難,tiau1-lan5,教典詞條
刁難,tiau1-lan5,詞彙分級
分,hun1,itaigi
分,hun1,twisas-語料庫系統
分,hun1,教典例句
分,hun1,教典詞條
分,hun1,詞彙分級
分,hun7,教典詞條
分,hun7,詞彙分級
分,pun1,itaigi
分,pun1,twisas-語料庫系統
分,pun1,教典例句
分,pun1,教典詞條
分,pun1,詞彙分級
分享,hun1-hiang2,itaigi
分享,hun1-hiang2,twisas-語料庫系統
分享,hun1-hiang2,教典詞條
分享,hun1-hiang2,詞彙分級
分享,hun1-hiong2,itaigi
分享,hun1-hiong2,教典詞條
分享,hun1-hiong2,詞彙分級
分人,pun1-lang5,twisas-語料庫系統
分伻,pun1-phenn1,教典例句
分伻,pun1-phenn1,教典詞條
分伻淡薄仔,pun1-phenn1-tam7-poh8-a2,教典例句
分佈,hun1-poo3,教典詞條
分佈,hun1-poo3,詞彙分級
分你,pun1-li2,twisas-語料庫系統
分你,pun1-li2,教典例句
分做,hun1-tso3,twisas-語料庫系統
分做,hun1-tso3,詞彙分級
分做,pun1-tso3,教典例句
分做,pun1-tso3,詞彙分級
分公司,hun1-kong1-si1,詞彙分級
分別,hun1-piat8,教典例句
分別,hun1-piat8,教典詞條
分別,hun1-piat8,詞彙分級
分割,hun1-kuah4,教典詞條
分劃,hun1-ueh8,詞彙分級
分化,hun1-hua3,教典詞條
分區,hun1-khu1,教典詞條
分啦乎,hun1-lah4-honnh4,twisas-語料庫系統
分子,hun1-tsu2,教典詞條
分子,hun7-tsu2,詞彙分級
分寸,hun1-tshun3,twisas-語料庫系統
分寸,hun1-tshun3,教典詞條
分寸,hun1-tshun3,詞彙分級
分局,hun1-kiok8,教典詞條
分局,hun1-kiok8,詞彙分級
分局長,hun1-kiok8-tiunn2,詞彙分級
分居,hun1-ki1,教典詞條
分居,hun1-ku1,教典詞條
分屍,hun1-si1,itaigi
分屍,hun1-si1,詞彙分級
分屍拆腿,hun1-si1-thiah4-thui2,itaigi
分屍案,hun1-si1-an3,詞彙分級
分工,hun1-kang1,教典詞條
分工,hun1-kang1,詞彙分級
分店,hun1-tiam3,教典例句
分店,hun1-tiam3,教典詞條
分店,hun1-tiam3,詞彙分級
分張,pun1-tiunn1,教典例句
分張,pun1-tiunn1,教典詞條
分張,pun1-tiunn1,詞彙分級
分我,pun1-gua2,twisas-語料庫系統
分我,pun1-gua2,教典例句
分手,hun1-tshiu2,教典詞條
分擔,hun1-tam1,twisas-語料庫系統
分擔,hun1-tam1,教典詞條
分擔,hun1-tam1,詞彙分級
分擔啦,hun1-tam1-lah4,twisas-語料庫系統
分擔的啊,hun1-tam1-e5-ah4,twisas-語料庫系統
分攤,hun1-thuann1,教典例句
分攤,hun1-thuann1,教典詞條
分支,hun1-tsi1,教典詞條
分散,hun1-suann3,教典例句
分散,hun1-suann3,教典詞條
分散,hun1-suann3,詞彙分級
分數,hun1-soo3,教典例句
分數,hun1-soo3,教典詞條
分數,hun1-soo3,詞彙分級
分明,hun1-bing5,itaigi
分明,hun1-bing5,twisas-語料庫系統
分明,hun1-bing5,教典例句
分明,hun1-bing5,教典詞條
分明,hun1-bing5,詞彙分級
分會,hun1-hue7,詞彙分級
分期,hun1-ki5,詞彙分級
分析,hun1-sik4,itaigi
分析,hun1-sik4,twisas-語料庫系統
分析,hun1-sik4,教典詞條
分析,hun1-sik4,詞彙分級
分析家,hun1-sik4-ka1,詞彙分級
分析起來,hun1-sik4-khi2-lai5,twisas-語料庫系統
分枝,hun1-ki1,詞彙分級
分校,hun1-hau7,教典詞條
分機,hun1-ki1,教典詞條
分歧,hun1-ki5,itaigi
分歧,hun1-ki5,教典詞條
分水嶺,pun1-tsui2-nia2,詞彙分級
分泌,hun1-pi3,教典詞條
分派,hun1-phai3,教典例句
分派,hun1-phai3,教典詞條
分發,hun1-huat4,教典例句
分發,hun1-huat4,教典詞條
分發,hun1-huat4,詞彙分級
分的,pun1-e5,教典例句
分的,pun1-e5,教典詞條
分矣,pun1-ah4,twisas-語料庫系統
分紅,pun1-ang5,教典詞條
分級,hun1-kip4,教典詞條
分組,hun1-tsoo1,教典詞條
分組,hun1-tsoo1,詞彙分級
分著,pun1-tioh8,詞彙分級
分行,hun1-hang5,教典詞條
分袂平,pun1-be7-penn5,itaigi
分裂,hun1-liat8,教典詞條
分解,hun1-kai2,教典詞條
分貝,hun1-pue3,教典詞條
分起來,pun1-khi2-lai5,教典例句
分身,hun1-sin1,教典例句
分身,hun1-sin1,教典詞條
分辨,hun1-pian7,教典詞條
分辨,hun1-pian7,詞彙分級
分配,hun1-phe3,教典詞條
分配,hun1-phue3,twisas-語料庫系統
分配,hun1-phue3,教典例句
分配,hun1-phue3,教典詞條
分配,hun1-phue3,詞彙分級
分配的uah4,hun1-phue3-e5-uah4,twisas-語料庫系統
分針,hun1-tsiam1,詞彙分級
分錢,pun1-tsinn5,itaigi
分錢,pun1-tsinn5,教典例句
分錢,pun1-tsinn5,教典詞條
分錢矣,pun1-tsinn5-ah4,教典例句
分鐘,hun1-tsing1,itaigi
分鐘,hun1-tsing1,教典例句
分鐘,hun1-tsing1,教典詞條
分鐘,hun1-tsing1,詞彙分級
分鐘仔,hun1-tsing1-a2,詞彙分級
分開,hun1-khui1,twisas-語料庫系統
分開,hun1-khui1,教典例句
分開,hun1-khui1,教典詞條
分開,hun1-khui1,詞彙分級
分開,pun1-khui1,教典詞條
分隊,hun1-tui7,教典詞條
分離,hun1-li5,教典詞條
分離,hun1-li5,詞彙分級
分離,hun1-li7,教典詞條
分離,hun1-li7,詞彙分級
分靈,hun1-ling5,詞彙分級
分頭,hun1-thau5,詞彙分級
分類,hun1-lui7,教典例句
分類,hun1-lui7,教典詞條
分類,hun1-lui7,詞彙分級
分駐所,hun1-tsu3-soo2,詞彙分級
切,tshe3,教典詞條
切,tshiat4,twisas-語料庫系統
切,tshiat4,教典例句
切,tshiat4,教典詞條
切,tshiat4,詞彙分級
切做,tshiat4-tso3,詞彙分級
切切咧,tshiat4-tshiat4-leh4,詞彙分級
切切的,tshiat4-tshiat4-e5,twisas-語料庫系統
切手,tshiat4-tshiu2,教典詞條
切手,tshiat4-tshiu2,詞彙分級
切換,tshiat4-uann7,教典詞條
切斷,tshiat4-tng7,教典詞條
切斷,tshiat4-tng7,詞彙分級
切斷去,tshiat4-tng7-khi3,詞彙分級
切片,tshiat4-phinn3,教典詞條
切結書,tshiat4-kiat4-su1,itaigi
切開,tshiat4-khui1,教典詞條
切除,tshiat4-tu5,教典詞條
刊,khan1,教典例句
刊,khan1,教典詞條
刊,khan1,詞彙分級
刊物,khan1-but8,教典例句
刊物,khan1-but8,教典詞條
刊登,khan1-ting1,教典詞條
刊載,khan1-tsai3,教典詞條
刎,bun2,詞彙分級
刐,tainn2,教典例句
刐,tainn2,教典詞條
刑,hing5,教典例句
刑,hing5,教典詞條
刑,hing5,詞彙分級
刑事,hing5-su7,twisas-語料庫系統
刑事,hing5-su7,教典詞條
刑事,hing5-su7,詞彙分級
刑事乎,hing5-su7-honnh4,twisas-語料庫系統
刑事庭,hing5-su7-ting5,詞彙分級
刑事系,hing5-su7-he7,詞彙分級
刑場,hing5-tiunn5,詞彙分級
刑期,hing5-ki5,教典詞條
刑期,hing5-ki5,詞彙分級
刑法,hing5-huat4,教典詞條
刑法,hing5-huat4,詞彙分級
刑罰,hing5-huat8,教典例句
刑罰,hing5-huat8,教典詞條
刑罰,hing5-huat8,詞彙分級
刑臺,hing5-tai5,詞彙分級
刑警,hing5-king2,教典詞條
刑警,hing5-king3,教典詞條
刑部,hing5-poo7,詞彙分級
划,ko3,itaigi
划,ko3,教典詞條
划,ko3,詞彙分級
划橫流,ko3-huainn5-lau5,教典例句
划船,ko3-tsun5,教典例句
划船,ko3-tsun5,教典詞條
划船,ko3-tsun5,詞彙分級
列,liat8,教典例句
列,liat8,教典詞條
列,liat8,詞彙分級
列入,liat8-jip8,教典例句
列入,liat8-jip8,詞彙分級
列出,liat8-tshut4,教典詞條
列印,liat8-in3,教典詞條
列宙峇,liat8-tiu7-ba5,itaigi
列島,liat8-to2,詞彙分級
列席,liat8-sik8,教典詞條
列強,liat8-kiong5,詞彙分級
列舉,liat8-ki2,教典詞條
列舉,liat8-ku2,教典詞條
列車,liat8-tshia1,教典詞條
刜,phut4,教典例句
刜,phut4,教典詞條
刜,phut4,詞彙分級
初,tshe1,教典詞條
初,tshe1,詞彙分級
初,tshoo1,twisas-語料庫系統
初,tshoo1,教典例句
初,tshoo1,教典詞條
初,tshoo1,詞彙分級
初,tshue1,教典詞條
初一,tshe1-it4,itaigi
初一,tshe1-it4,教典例句
初一,tshe1-it4,教典詞條
初一,tshe1-it4,詞彙分級
初一,tshoo1-it4,教典例句
初一,tshoo1-it4,教典詞條
初一,tshue1-it4,教典詞條
初一,tshue1-it4,詞彙分級
初一啦,tshue1-it4-lah4,twisas-語料庫系統
初七,tshe1-tshit4,詞彙分級
初三,tshe1-sam1,詞彙分級
初三,tshe1-sann1,詞彙分級
初三四,tshe1-sann1-si3,教典例句
初中,tshoo1-tiong1,twisas-語料庫系統
初中,tshoo1-tiong1,教典例句
初中,tshoo1-tiong1,詞彙分級
初九,tshe1-kau2,教典例句
初九,tshe1-kau2,詞彙分級
初二,tshe1-ji7,教典例句
初二,tshe1-ji7,詞彙分級
初五,tshe1-goo7,詞彙分級
初八,tshe1-peh4,詞彙分級
初八,tshe1-pueh4,詞彙分級
初六,tshe1-lak8,教典例句
初六,tshe1-lak8,詞彙分級
初初,tshoo1-tshoo1,twisas-語料庫系統
初初,tshoo1-tshoo1,教典例句
初初,tshoo1-tshoo1,教典詞條
初初,tshoo1-tshoo1,詞彙分級
初十,tshe1-tsap8,教典例句
初十,tshe1-tsap8,詞彙分級
初四,tshe1-si3,教典例句
初四,tshe1-si3,詞彙分級
初夏,tshoo1-ha7,詞彙分級
初學者,tshoo1-hak8-tsia2,教典詞條
初年,tshoo1-ni5,詞彙分級
初戀,tshoo1-luan5,教典例句
初戀,tshoo1-luan5,教典詞條
初戀,tshoo1-luan5,詞彙分級
初期,tshoo1-ki5,教典詞條
初期,tshoo1-ki5,詞彙分級
初期的,tshoo1-ki5-e5,詞彙分級
初次,tshoo1-tshu3,詞彙分級
初步,tshoo1-poo7,教典例句
初步,tshoo1-poo7,教典詞條
初稿,tshoo1-ko2,教典詞條
初級,tshoo1-kip4,教典例句
初級,tshoo1-kip4,教典詞條
初級,tshoo1-kip4,詞彙分級
初見面,tshoo1-kinn3-bin7,教典例句
初見面,tshoo1-kinn3-bin7,教典詞條
初試,tshoo1-tshi3,教典詞條
初農,tshoo1-long5,twisas-語料庫系統
初選,tshoo1-suan2,教典詞條
初鹿,tshoo1-lok8,詞彙分級
刣,thai5,itaigi
刣,thai5,twisas-語料庫系統
刣,thai5,教典例句
刣,thai5,教典詞條
刣,thai5,詞彙分級
刣了,thai5-liau2,教典例句
刣了,thai5-liau2,詞彙分級
刣了了,thai5-liau2-liau2,教典例句
刣人,thai5-lang5,教典例句
刣人放火,thai5-lang5-pang3-hue2,教典例句
刣割,thai5-kuah4,itaigi
刣割,thai5-kuah4,教典例句
刣掉,thai5-tiau7,詞彙分級
刣死,thai5-si2,教典詞條
刣死,thai5-si2,詞彙分級
刣狗,thai5-kau2,itaigi
刣的,thai5-e5,教典例句
刣著,thai5-tioh8,教典例句
刣豬,thai5-ti1,itaigi
刣豬仔兄,thai5-ti1-a2-hiann1,詞彙分級
刣豬的,thai5-ti1-e5,itaigi
刣豬的,thai5-ti1-e5,詞彙分級
刣雞,thai5-ke1,itaigi
刣雞教猴,thai5-ke1-ka3-kau5,教典例句
刣雞教猴,thai5-ke1-ka3-kau5,教典詞條
刣雞教猴,thai5-ke1-ka3-kau5,詞彙分級
刣雞教猴,thai5-kue1-ka3-kau5,教典詞條
刣頭,thai5-thau5,itaigi
刣頭,thai5-thau5,教典例句
刣頭,thai5-thau5,教典詞條
刣頭,thai5-thau5,詞彙分級
判,phuann3,教典例句
判,phuann3,教典詞條
判,phuann3,詞彙分級
判刑,phuann3-hing5,教典例句
判刑,phuann3-hing5,教典詞條
判刑,phuann3-hing5,詞彙分級
判官,phuann3-kuann1,教典詞條
判定,phuann3-ting7,教典詞條
判斷,phuann3-tuan3,教典例句
判斷,phuann3-tuan3,教典詞條
判斷,phuann3-tuan3,詞彙分級
判決,phuann3-kuat4,教典例句
判決,phuann3-kuat4,教典詞條
判決,phuann3-kuat4,詞彙分級
判決書,phuann3-kuat4-su1,詞彙分級
判罪,phuann3-tsue7,教典例句
判罪,phuann3-tsue7,教典詞條
別,pat4,詞彙分級
別,pat8,itaigi
別,pat8,twisas-語料庫系統
別,pat8,教典例句
別,pat8,教典詞條
別,pat8,詞彙分級
別,piat8,twisas-語料庫系統
別,piat8,教典例句
別,piat8,教典詞條
別,piat8,詞彙分級
別个,pat8-e5,twisas-語料庫系統
別个,pat8-e5,教典例句
別个,pat8-e5,教典詞條
別人,pat8-lang5,itaigi
別人,pat8-lang5,twisas-語料庫系統
別人,pat8-lang5,教典例句
別人,pat8-lang5,教典詞條
別人,pat8-lang5,詞彙分級
別人咧,pat8-lang5-leh4,twisas-語料庫系統
別人咧唅,pat8-lang5-leh4-hannh4,twisas-語料庫系統
別人啦,pat8-lang5-lah4,twisas-語料庫系統
別人啦,pat8-lang5-lah4,詞彙分級
別人喔,pat8-lang5-ooh4,twisas-語料庫系統
別人嘛,pat8-lang5-mah4,教典例句
別人的,pat8-lang5-e5,twisas-語料庫系統
別人矣,pat8-lang5-ah4,twisas-語料庫系統
別人矣,pat8-lang5-ah4,教典例句
別位,pat8-ui7,教典例句
別位,pat8-ui7,教典詞條
別位,pat8-ui7,詞彙分級
別位仔,pat8-ui7-a2,詞彙分級
別位哩,pat8-ui7-lih4,twisas-語料庫系統
別再讓他們感到焦躁,別-再-讓-他-們-感-到-焦-躁,詞彙分級
別客氣,bian2-kheh4-khi3,itaigi
別年仔,pat8-ni5-a2,詞彙分級
別搭,pat8-tah4,教典例句
別搭,pat8-tah4,教典詞條
別搭,pat8-tah4,詞彙分級
別日,pat8-jit8,itaigi
別日,pat8-jit8,教典例句
別日,pat8-jit8,教典詞條
別日,pat8-lit8,教典詞條
別日仔,pat8-jit8-a2,itaigi
別日仔,pat8-jit8-a2,教典例句
別日仔,pat8-jit8-a2,教典詞條
別日仔,pat8-lit8-a2,教典詞條
別款,pat8-khuan2,教典例句
別款,pat8-khuan2,教典詞條
別款,pat8-khuan2,詞彙分級
別款的,pat8-khuan2-e5,教典例句
別莊,piat8-tsong1,twisas-語料庫系統
別莊,piat8-tsong1,教典詞條
別莊,piat8-tsong1,詞彙分級
別號,piat8-ho7,教典例句
別離,piat8-li7,詞彙分級
別項,pat8-hang7,twisas-語料庫系統
別項,pat8-hang7,教典例句
別項,pat8-hang7,教典詞條
別項,pat8-hang7,詞彙分級
利,lai7,itaigi
利,lai7,twisas-語料庫系統
利,lai7,教典例句
利,lai7,教典詞條
利,lai7,詞彙分級
利,li7,itaigi
利,li7,教典例句
利,li7,教典詞條
利,li7,詞彙分級
利仔,li7-a2,教典例句
利便,li7-pian7,itaigi
利便,li7-pian7,教典例句
利便,li7-pian7,教典詞條
利便,li7-pian7,詞彙分級
利刃,lai7-jin7,詞彙分級
利利,lai7-lai7,詞彙分級
利劍劍,lai7-kiam3-kiam3,詞彙分級
利吉,li7-kiat4,詞彙分級
利害,li7-hai7,教典詞條
利害,li7-hai7,詞彙分級
利尿,li7-jio7,教典詞條
利尿,li7-lio7,教典詞條
利市,li7-tshi7,詞彙分級
利希頓斯坦,li7-hi1-tun3-su1-than2,itaigi
利息,li7-sik4,twisas-語料庫系統
利息,li7-sik4,教典例句
利息,li7-sik4,教典詞條
利息,li7-sik4,詞彙分級
利息,li7-sit4,twisas-語料庫系統
利息,li7-sit4,教典詞條
利息啦,li7-sik4-lah4,twisas-語料庫系統
利潤,li7-jun7,教典詞條
利潤,li7-lun7,教典詞條
利澤,li7-tik8,詞彙分級
利率,li7-lut8,教典詞條
利用,li7-iong7,twisas-語料庫系統
利用,li7-iong7,教典例句
利用,li7-iong7,教典詞條
利用,li7-iong7,詞彙分級
利用的,li7-iong7-e5,twisas-語料庫系統
利益,li7-ik4,twisas-語料庫系統
利益,li7-ik4,教典例句
